,0,1
639,460,476
640,461,475
641,462,474
642,463,473
643,464,473
644,465,474
645,466,475
646,467,476
647,467,477
648,467,478
649,467,479
650,467,480
651,467,481
652,468,482
653,469,482
654,470,481
655,471,481
656,472,482
657,473,483
658,474,484
659,475,484
660,476,484
661,477,483
662,477,482
663,478,481
664,479,480
665,480,479
666,481,478
667,482,478
668,483,479
669,484,480
670,485,481
671,486,482
672,486,483
673,486,484
674,487,485
675,487,486
676,488,487
677,487,488
678,487,489
679,486,490
680,485,491
681,485,492
682,484,493
683,484,494
684,485,495
685,486,496
686,487,497
687,487,498
688,487,499
689,488,500
690,488,501
691,489,502
692,490,503
693,491,503
694,492,503
695,493,503
696,494,502
697,495,501
698,496,500
699,497,500
700,498,500
701,499,500
702,500,500
703,501,501
704,502,501
705,503,501
706,504,501
707,505,501
708,506,501
709,507,501
710,508,501
711,509,501
712,510,500
713,510,501
714,510,499
715,511,498
716,512,497
717,513,496
718,514,495
719,515,495
720,516,495
721,517,494
722,518,494
723,519,494
724,520,495
725,521,495
726,522,496
727,523,496
728,524,496
729,525,496
730,526,495
731,527,496
732,528,497
733,529,498
734,530,499
735,531,500
736,532,500
737,533,499
738,534,498
739,535,498
740,536,498
741,537,498
742,538,497
743,539,497
744,540,496
745,541,495
746,542,494
747,543,493
748,544,492
749,545,491
750,546,490
751,547,490
752,548,490
753,549,491
754,550,492
755,551,492
756,552,493
757,553,494
758,554,494
759,555,494
760,556,493
761,557,492
762,558,491
763,559,490
764,560,489
765,561,488
766,562,489
767,562,490
768,561,491
769,561,492
770,560,493
771,560,494
772,560,495
773,560,496
774,560,497
775,560,498
776,560,499
777,561,500
778,562,500
779,563,500
780,564,500
781,565,500
782,566,499
783,567,498
784,568,497
785,569,496
786,570,495
787,570,494
788,570,493
789,571,492
790,572,491
791,573,490
792,574,490
793,575,490
794,576,490
795,577,490
796,578,490
797,579,490
798,580,489
799,580,488
800,581,487
801,582,486
802,583,486
803,584,486
804,585,485
805,585,484
806,586,483
807,587,482
808,587,481
809,588,480
810,589,479
811,589,478
812,590,477
813,591,476
814,592,475
815,592,474
816,592,473
817,593,472
818,593,471
819,593,470
820,593,469
821,593,468
822,593,467
823,594,466
824,594,465
825,594,464
826,594,463
827,595,462
828,595,461
829,595,460
830,595,459
831,595,458
832,595,457
833,595,456
834,596,455
835,597,454
836,596,453
837,595,453
838,594,453
839,593,453
840,592,452
841,591,451
842,591,450
843,591,449
844,591,448
845,591,447
846,590,446
847,589,446
848,588,445
849,587,444
850,586,443
851,585,443
852,584,443
853,583,442
854,582,441
855,581,440
856,581,439
857,581,438
858,582,437
859,582,436
860,582,435
861,582,434
862,582,433
863,582,432
864,582,431
865,582,430
866,583,429
867,584,429
868,585,429
869,586,429
870,587,429
871,588,430
872,589,430
873,590,430
874,591,430
875,592,430
876,593,430
877,594,429
878,594,428
879,594,427
880,595,426
881,595,425
882,596,424
883,597,423
884,598,422
885,599,421
886,599,420
887,599,419
888,599,418
889,599,417
890,599,416
891,599,415
892,600,414
893,601,413
894,601,412
895,601,411
896,602,410
897,602,409
898,602,408
899,602,407
900,602,406
901,602,405
902,602,404
903,601,403
904,601,402
905,600,401
906,600,400
907,600,399
908,600,398
909,600,397
910,600,396
911,601,395
912,601,394
913,601,393
914,601,392
915,601,391
916,601,390
917,602,389
918,603,388
919,604,388
920,605,388
921,606,388
922,607,388
923,608,387
924,608,386
925,608,385
926,607,384
927,606,383
928,605,382
929,604,381
930,603,380
931,602,379
932,601,378
933,601,377
934,601,376
935,601,375
936,601,374
937,601,373
938,601,372
939,602,371
940,603,370
941,603,369
942,604,368
943,605,367
944,606,366
945,606,365
946,606,364
947,606,363
948,606,362
949,606,361
950,606,360
951,605,359
952,605,358
953,606,357
954,607,356
955,608,355
956,609,355
957,610,354
958,611,354
959,612,354
960,613,353
961,614,353
962,615,352
963,616,352
964,617,352
965,618,351
966,619,350
967,620,349
968,620,348
969,620,347
970,621,346
971,622,345
972,622,344
973,623,343
974,624,342
975,625,341
976,626,340
977,627,339
978,628,338
979,628,337
980,629,336
981,630,335
982,631,334
983,632,333
984,633,332
985,634,332
986,635,331
987,636,330
988,637,329
989,638,329
990,639,329
991,640,329
992,641,329
993,642,328
994,643,327
995,644,327
996,645,326
997,646,325
998,646,324
999,647,323
1000,648,322
1001,648,321
1002,648,320
1003,649,319
1004,649,318
1005,649,317
1006,650,316
1007,651,315
1008,651,314
1009,651,313
1010,651,312
1011,652,311
1012,652,310
1013,653,309
1014,652,308
1015,653,308
1016,651,307
1017,650,307
1018,649,307
1019,648,306
1020,647,306
1021,646,305
1022,645,305
1023,644,304
1024,644,303
1025,643,302
1026,643,301
1027,643,300
1028,644,299
1029,644,298
1030,644,297
1031,644,296
1032,643,295
1033,643,294
1034,643,293
1035,643,292
1036,643,291
1037,644,290
1038,645,289
1039,646,288
1040,645,288
1041,646,287
1042,647,286
1043,647,285
1044,647,284
1045,648,283
1046,649,283
1047,650,283
1048,651,283
1049,652,283
1050,653,283
1051,654,283
1052,655,283
1053,656,283
1054,657,283
1055,658,283
1056,659,283
1057,660,282
1058,661,282
1059,662,281
1060,663,280
1061,664,279
1062,665,279
1063,666,278
1064,667,278
1065,668,277
1066,669,276
1067,670,275
1068,669,274
1069,670,274
1070,668,273
1071,667,273
1072,667,272
1073,667,271
1074,667,270
1075,668,269
1076,669,268
1077,670,267
1078,671,266
1079,672,265
1080,673,264
1081,674,264
1082,675,264
1083,676,263
1084,677,262
1085,678,261
1086,678,260
1087,678,259
1088,677,258
1089,676,257
1090,677,257
1091,675,258
1092,674,258
1093,673,258
1094,672,258
1095,671,257
1096,670,256
1097,669,255
1098,668,255
1099,668,254
1100,668,253
1101,669,252
1102,669,251
1103,669,250
1104,668,249
1105,667,249
1106,666,249
1107,665,248
1108,664,247
1109,665,246
1110,666,245
1111,666,244
1112,667,243
1113,668,242
1114,668,241
1115,668,240
1116,668,239
1117,668,238
1118,668,237
1119,668,236
1120,668,235
1121,668,234
1122,668,233
1123,669,232
1124,670,231
1125,670,230
1126,670,229
1127,670,228
1128,671,227
1129,671,226
1130,672,225
