,X,Y,Z
591,355,490,1000.58203
592,356,489,1000.583
593,356,488,1001.1738
594,357,487,1002.74963
595,358,486,1002.7507
596,358,485,1002.75165
597,358,484,1003.4979
598,359,483,1004.7503
599,359,482,1005.49536
600,360,481,
601,361,480,1006.26917
602,362,479,1006.2702
603,363,480,1006.2712
604,364,480,1008.0368
605,365,480,1008.398
606,366,479,1010.0
607,367,478,1010.3599
608,368,477,1010.6228
609,368,476,1010.69635
610,368,475,1010.69836
611,369,474,1011.5419
612,370,474,1013.0005
613,371,473,1013.0015
614,372,473,
615,373,474,1013.0025
616,374,474,1015.3232
617,375,474,1023.1688
618,376,474,1030.2296
619,377,473,1034.7839
620,378,472,1037.8644
621,379,471,1038.4106
622,380,471,1038.4116
623,381,471,1038.4127
624,382,470,
625,383,470,1038.4137
626,384,469,1039.791
627,385,468,1041.995
628,386,468,1041.996
629,387,468,1041.997
630,388,468,1041.998
631,389,468,
632,390,469,1041.999
633,391,469,1042.0
634,392,469,1042.0515
635,393,468,1042.0621
636,394,467,1042.0631
637,395,467,1042.0641
638,396,467,
639,397,467,1042.3392
640,398,467,1042.4735
641,399,467,1044.2557
642,400,466,1044.4673
643,401,465,1044.4683
644,402,465,1044.4694
645,403,464,1044.4703
646,404,463,1044.4713
647,405,463,1044.4723
648,406,463,1044.4733
649,407,463,
650,408,463,1044.4744
651,409,463,1044.4753
652,410,462,
653,411,462,1044.5238
654,412,461,
655,413,460,
656,412,459,
657,412,458,
658,412,457,
659,413,456,
660,414,457,
661,415,457,
662,416,457,1054.6981
663,417,458,1057.5221
664,417,459,1060.0
665,417,460,1066.7446
666,417,461,1073.2709
667,418,462,1078.7391
668,418,463,1086.9243
669,418,464,1093.8358
670,419,465,1100.6221
671,420,465,1106.5894
672,421,465,
673,422,465,1120.1586
674,423,466,1147.0839
675,424,467,1159.4243
676,425,468,1159.4253
677,426,468,
678,427,468,1159.4264
679,428,467,1159.4274
680,429,467,1159.4283
681,430,467,1160.7609
682,431,467,1161.0594
683,432,467,
684,432,468,1161.0604
685,432,469,1161.0614
686,431,470,1161.0624
687,431,471,1161.0635
688,431,472,1161.0645
689,431,473,
690,431,474,1161.0654
691,430,475,1161.0664
692,431,476,1161.0674
693,432,476,
694,433,476,1161.0685
695,434,475,1161.0695
696,435,474,1164.2462
697,436,474,1169.5747
698,437,474,1172.2021
699,438,474,1174.5238
700,439,473,1174.722
701,440,472,1174.723
702,441,472,1174.7241
703,442,472,
704,442,473,1174.7251
705,442,474,1174.7261
706,441,475,1179.1144
707,441,476,1180.054
708,441,477,1180.0549
709,441,478,1180.0559
710,442,479,
711,443,480,1180.057
712,444,480,1180.058
713,445,480,1180.059
714,446,481,1180.0599
715,446,482,
716,447,483,1180.0609
717,448,483,1180.0619
718,449,484,1180.063
719,450,485,
720,451,485,1180.064
721,452,484,1180.065
722,452,483,1180.0659
723,453,482,1180.0669
724,454,482,1180.068
725,455,481,1180.069
726,456,480,1180.07
727,456,479,1183.2417
728,456,478,1184.1743
729,456,477,
730,456,476,1184.1753
731,456,475,1184.7335
732,457,474,1184.8895
733,458,474,1186.5559
734,459,474,1188.2062
735,460,473,1188.226
736,461,473,1190.6703
737,462,473,
738,463,473,1194.474
739,464,473,1194.475
740,465,474,1194.476
741,466,475,1194.477
742,465,476,1198.9495
743,464,476,
744,463,476,
745,462,477,
746,462,478,
747,463,479,
748,463,480,
749,464,481,
750,464,482,
751,465,483,
752,466,484,
753,467,483,
754,467,484,
755,467,482,
756,468,481,
757,469,480,
758,470,481,1205.6428
759,471,482,1212.6392
760,471,483,1223.2812
761,471,484,
762,471,485,1226.1556
763,472,486,
764,473,485,
765,474,484,1233.9757
766,475,483,1256.6049
767,475,482,
768,475,481,1268.3728
769,476,480,
770,476,479,1277.1605
771,477,478,
772,478,477,1284.2524
773,479,478,
774,480,478,1284.2534
775,481,477,
776,482,476,1284.2545
777,482,475,
778,483,474,1284.2565
779,484,473,
780,485,473,1286.2848
781,485,474,
782,485,475,1288.2427
783,484,476,
784,484,477,1296.5964
785,484,478,
786,484,479,
787,484,480,1308.896
788,484,481,1326.5236
789,484,482,1326.5245
790,484,483,1326.5255
791,484,484,1326.5266
792,484,485,1326.5276
793,485,486,
794,486,485,1326.5286
795,486,486,1326.5295
796,486,487,1326.5305
797,485,488,1326.5316
798,484,489,
799,483,490,1326.5326
800,482,490,1326.5336
801,481,491,1329.572
802,481,492,1330.4948
803,482,493,
804,483,494,1332.0525
805,484,495,1332.6067
806,484,496,1332.6077
807,485,497,1332.6086
808,485,498,
809,485,499,1332.6096
810,486,500,1332.6106
811,486,501,1332.6116
812,486,502,1332.6127
813,487,503,
814,488,504,1332.6136
815,489,504,1332.6146
816,490,504,1332.6156
817,491,504,
818,492,503,1332.6166
819,493,502,1332.6177
820,492,501,1332.6187
821,492,500,
822,493,499,1332.6196
823,494,500,
824,495,500,
825,496,500,1336.4956
826,497,500,1336.7023
827,498,500,1340.0072
828,499,500,1340.3143
829,500,501,
830,501,501,1340.3163
831,502,500,
832,502,501,1340.3173
833,503,502,1340.3193
834,504,502,1340.3203
835,505,502,
836,506,501,1340.3213
837,506,502,1340.3223
838,506,500,1340.3234
839,507,499,1340.3243
840,507,498,1342.2815
841,507,497,1340.3253
842,508,496,1342.6061
843,509,496,1342.607
844,510,495,
845,511,495,1345.6124
846,512,495,1348.7087
847,513,495,1351.3824
848,514,494,1353.4498
849,515,494,1355.2557
850,516,493,
851,517,494,1358.0073
852,518,494,1361.7852
853,519,495,1375.1475
854,520,496,1381.7991
855,521,496,
856,522,496,1387.8562
857,523,495,1391.3713
858,524,494,1391.3723
859,525,494,1394.8036
860,526,494,
861,526,495,1399.121
862,526,496,1418.7222
863,526,497,
864,526,498,1443.1595
865,526,499,
866,527,500,1462.147
867,528,500,
868,529,499,
869,530,499,1482.3213
870,531,498,1491.9594
871,532,498,1492.3721
872,533,498,1492.3732
873,534,497,
874,535,498,1492.3741
875,536,497,1492.3751
876,536,496,1492.3761
877,537,495,1492.3771
878,538,494,1492.378
879,539,494,
880,540,493,1492.3792
881,541,493,1492.3801
882,542,492,1492.3811
883,542,491,
884,543,490,1492.3821
885,544,489,1492.383
886,545,488,1492.3842
887,546,489,
888,546,490,1492.3851
889,547,491,1494.2166
890,548,491,
891,549,491,1494.2175
892,549,492,1494.2185
893,549,493,1495.7948
894,550,494,
895,550,495,1501.1091
896,551,496,
897,552,495,
898,553,494,1502.0425
899,554,493,1502.0435
900,554,492,
901,555,491,1502.0446
902,556,490,
903,557,489,1502.0455
904,557,488,
905,557,487,1502.0465
906,557,486,
907,558,485,1502.0465
908,559,484,1502.0475
909,559,485,
910,559,486,1502.0485
911,560,487,
912,560,488,
913,560,489,1502.0496
914,560,490,1502.724
915,559,491,1504.4398
916,558,492,1505.5111
917,558,493,1506.1064
918,557,494,1506.1075
919,557,495,1506.1085
920,556,496,1506.1095
921,557,497,1506.1105
922,557,498,1506.1115
923,558,499,1506.1125
924,559,499,
925,560,499,1506.1135
926,561,500,1506.1145
927,562,500,1506.5448
928,563,500,1506.7982
929,564,500,1507.576
930,565,499,1507.577
931,566,498,1507.578
932,566,497,1507.5791
933,566,496,1507.5801
934,567,495,
935,567,494,1507.581
936,567,493,1507.582
937,567,492,1507.583
938,568,491,
939,568,490,1507.584
940,569,489,1507.5851
941,570,489,1507.586
942,571,488,
943,572,488,1507.587
944,573,488,1507.588
945,574,489,
946,575,490,1507.589
947,576,491,
948,577,490,1507.5911
949,578,489,1507.592
950,578,488,1509.6827
951,578,487,1510.6178
952,579,486,1513.1925
953,580,486,1514.101
954,581,485,1514.1019
955,582,485,1514.1029
956,583,484,1514.1039
957,583,485,1514.105
958,583,483,1514.106
959,583,482,1514.1069
960,584,481,1514.1079
961,585,480,1514.1089
962,585,479,1514.11
963,586,478,1514.111
964,587,477,1514.1119
965,588,476,1514.4457
966,589,475,1516.9557
967,589,474,1516.9567
968,590,473,1516.9578
969,590,472,1516.9587
970,590,471,1516.9597
971,590,470,1516.9607
972,590,469,1516.9617
973,591,468,1516.9628
974,591,467,1516.9637
975,592,466,1516.9647
976,592,465,1517.985
977,592,464,1517.986
978,592,463,1517.987
979,593,462,1517.988
980,594,461,1517.989
981,594,460,1517.99
982,593,459,1517.991
983,592,458,1517.992
984,591,458,1517.993
985,590,457,1517.994
986,589,457,1517.995
987,588,457,1517.996
988,587,457,1517.997
989,586,457,1520.1924
990,587,456,1520.1934
991,587,455,1520.1943
992,588,454,1520.1954
993,589,453,1520.1964
994,589,452,1520.1974
995,588,451,1520.1984
996,588,450,1520.1993
997,588,449,1520.2004
998,589,448,1520.2014
999,590,447,
1000,590,446,1520.2024
1001,590,445,1520.2034
1002,589,444,1520.2043
1003,588,444,
1004,587,444,1520.2053
1005,586,445,1520.2064
1006,585,446,1520.2074
1007,584,446,1520.2084
1008,583,445,
1009,582,446,1520.2094
1010,581,446,1520.2103
1011,580,445,
1012,580,444,1520.2114
1013,580,443,1520.2124
1014,579,442,
1015,579,441,1520.2134
1016,578,440,1520.2144
1017,578,439,
1018,578,438,1520.2153
1019,578,437,1520.2164
1020,579,436,1520.2174
1021,579,435,
1022,580,434,1520.2184
1023,580,433,1520.2194
1024,580,432,
1025,580,431,1520.2203
1026,579,430,1520.2214
1027,580,429,
1028,581,428,1520.2224
1029,582,428,1520.2234
1030,583,428,
1031,584,428,1520.2244
1032,585,428,1520.2253
1033,586,428,
1034,587,429,1520.2264
1035,588,430,1520.2274
1036,589,430,1520.2284
1037,590,430,1520.2294
1038,591,429,1520.2303
1039,592,428,1520.2313
1040,592,429,1520.2324
1041,592,427,1520.2334
1042,592,426,1520.2344
1043,593,425,1520.2354
1044,593,424,1520.2363
1045,592,423,1520.2374
1046,593,422,1520.2384
1047,594,422,1521.0437
1048,595,421,
1049,595,420,1522.0581
1050,596,419,1522.0592
1051,596,418,1522.0602
1052,596,417,1522.0612
1053,597,416,1522.0621
1054,596,415,1522.0631
1055,597,414,1522.0642
1056,597,413,1522.0652
1057,597,412,1522.0662
1058,598,411,
1059,599,410,1524.0
1060,598,409,1524.0277
1061,597,408,1524.0544
1062,597,407,1524.0554
1063,598,406,1524.0564
1064,599,405,1525.9758
1065,599,406,1525.9768
1066,597,404,1525.9778
1067,598,404,1525.9788
1068,597,403,
1069,598,402,1525.9799
1070,598,401,1525.9808
1071,598,400,1525.9818
1072,599,399,1525.9828
1073,599,398,1525.9838
1074,599,397,1525.9849
1075,599,396,1525.9858
1076,599,395,1525.9868
1077,599,394,1525.9878
1078,599,393,
1079,598,392,1525.9888
1080,598,391,1525.9899
1081,598,390,1525.9908
1082,598,389,1525.9918
1083,599,388,1525.9928
1084,600,388,1525.9938
1085,601,388,1525.9948
1086,602,387,1525.9958
1087,603,387,
1088,604,388,1525.9968
1089,605,388,1525.9978
1090,606,387,1525.9998
