,0,1
195,117,701
196,116,700
197,117,700
198,115,699
199,114,699
200,113,700
201,112,700
202,111,700
203,110,700
204,109,701
205,108,700
206,108,699
207,109,698
208,110,697
209,110,696
210,110,695
211,111,694
212,111,693
213,112,692
214,113,691
215,114,691
216,115,691
217,116,690
218,117,690
219,118,689
220,119,689
221,120,688
222,121,687
223,121,686
224,121,685
225,121,684
226,120,683
227,120,682
228,121,681
229,122,680
230,123,679
231,124,678
232,124,677
233,123,676
234,122,677
235,121,677
236,120,677
237,119,677
238,118,677
239,117,676
240,116,676
241,115,675
242,114,675
243,113,674
244,112,673
245,111,672
246,111,671
247,111,670
248,112,669
249,112,668
250,112,667
251,112,666
252,112,665
253,112,664
254,112,663
255,112,662
256,112,661
257,113,660
258,113,659
259,114,658
260,115,658
261,116,658
262,117,659
263,118,659
264,119,658
265,120,657
266,121,656
267,122,655
268,123,654
269,123,653
270,123,652
271,123,651
272,123,650
273,122,649
274,123,648
275,124,647
276,125,647
277,126,646
278,127,646
279,128,646
280,129,646
281,130,646
282,131,645
283,132,645
284,133,645
285,134,644
286,134,643
287,135,642
288,136,641
289,136,640
290,137,639
291,138,638
292,139,637
293,140,636
294,141,636
295,142,636
296,143,636
297,144,635
298,145,635
299,146,634
300,147,633
301,148,632
302,149,631
303,150,630
304,150,629
305,151,628
306,152,628
307,153,628
308,154,627
309,155,626
310,156,625
311,157,624
312,158,623
313,158,622
314,158,621
315,158,620
316,159,619
317,160,619
318,161,620
319,162,620
320,163,619
321,164,618
322,165,617
323,166,616
324,166,615
325,166,614
326,167,613
327,168,612
328,169,611
329,170,610
330,171,610
331,172,609
332,173,608
333,174,607
334,174,606
335,175,605
336,176,604
337,176,603
338,177,602
339,178,601
340,179,601
341,180,601
342,181,600
343,182,599
344,182,600
345,182,598
346,183,597
347,183,596
348,183,595
349,184,594
350,185,593
351,186,593
352,187,592
353,188,592
354,189,592
355,190,592
356,191,592
357,192,592
358,193,591
359,194,591
360,195,591
361,196,590
362,197,590
363,198,589
364,199,588
365,200,587
366,201,587
367,202,586
368,203,585
369,203,584
370,204,583
371,205,582
372,206,581
373,206,580
374,207,579
375,207,578
376,207,577
377,206,576
378,205,575
379,204,575
380,203,575
381,202,575
382,201,574
383,200,574
384,200,573
385,200,572
386,201,571
387,202,571
388,203,571
389,204,571
390,205,571
391,206,570
